Artist,Classification,Continent,Country,Credit Line,Dated,Department,Dimension,Inscription,Medium,Nationality,Provenance,Rights Type,Room,Short Description,Signed,Style,Text,Title,Years Living
Artist: Henri Matisse, Sculpture,Europe,France,Gift of the Dayton Hudson Corporation,1930,"Decorative Arts, Textiles and Sculpture",12 1/2 x 8 x 7 1/2 in. (31.8 x 20.3 x 19.1 cm),N/A,Bronze,French,N/A,Copyright Protected,Not on View,Cast no. 6/ 10; cast in 1931,N/A,20th century,"Venus, the ancient Roman goddess of love and beauty, sits upon a seashell, the traditional symbol of her birth from the waters of the sea. Matisse chose to emphasize a strong vertical accent in this sculpture, creating a pronounced sense of ascendancy that underscores the mythological theme.  


 ",Venus in a Shell I,"French, 1869?1954"
N/A, Metalwork,Europe,Greece,Gift of Ruth Washburn and Julia Crosby Markham in memory of Margaret Crosby,late 4th or early 3rd century BCE,"Decorative Arts, Textiles and Sculpture",4 15/16 x 5 3/4 in. (12.54 x 14.61 cm),N/A,Silver,N/A,N/A,Public Domain,G242,should be considered in combination with Ladle (72.104),N/A,3rd-4th century BCE,N/A,Foliate Sieve,N/A
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1962 (printed 1971),Photography and New Media,"14 1/8 x 14 3/8 in. (35.88 x 36.51 cm) (image)
19 7/8 x 16 in. (50.48 x 40.64 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,"Xmas Tree in a Living Room, Levittown, New York","American, 1923 - 1971"
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1970 (reprinted 1971),Photography and New Media,"14 3/8 x 14 11/16 in. (36.51 x 37.31 cm) (image)
19 7/8 x 16 1/16 in. (50.48 x 40.8 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,"This is Eddie Carmel, a Jewish Giant, With His Parents in the Living Room of Their Home in the Bronx, New York","American, 1923 - 1971"
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1963 (reprinted 1971),Photography and New Media,"14 5/16 x 14 5/8 in. (36.35 x 37.15 cm) (image)
19 7/8 x 16 1/8 in. (50.48 x 40.96 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,Retired Man and His Wife at Home in a Nudist Camp One Morning in New Jersey. On the Television Set Are Framed Photographs of Each Other.,"American, 1923 - 1971"
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1966 (printed 1971),Photography and New Media,"15 1/16 x 14 3/4 in. (38.26 x 37.47 cm) (image)
19 15/16 x 16 1/16 in. (50.64 x 40.8 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,"A Young Man in Curlers Dressing for an Annual Drag Ball, N.Y.C.","American, 1923 - 1971"
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1966 (printed 1971),Photography and New Media,"14 7/8 x 14 3/8 in. (37.78 x 36.51 cm) (image)
19 15/16 x 16 in. (50.64 x 40.64 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,A Young Family in Brooklyn Going for a Sunday Outing. Their Baby is Named Dawn. Their Son Is Retarded.,"American, 1923 - 1971"
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1966 (printed 1971),Photography and New Media,"14 5/8 x 14 11/16 in. (37.15 x 37.31 cm) (image)
19 7/8 x 15 15/16 in. (50.48 x 40.48 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,"Identical Twins, Cathleen (left) and Colleen, Members of a Twin Club in New Jersey","American, 1923 - 1971"
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1967 (printed 1971),Photography and New Media,"14 11/16 x 14 11/16 in. (37.31 x 37.31 cm) (image)
19 7/8 x 16 in. (50.48 x 40.64 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,"A Patriotic Boy with Straw Hat, Buttons, and Flag, Waiting to March in a Pro War Parade, N.Y.C.","American, 1923 - 1971"
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1968 (printed 1971),Photography and New Media,"14 3/4 x 14 3/4 in. (37.47 x 37.47 cm) (image)
19 13/16 x 16 in. (50.32 x 40.64 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,A Family on the Lawn One Sunday in Westchester in June 1968,"American, 1923 - 1971"
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1970 (reprinted 1971),Photography and New Media,"14 11/16 x 14 11/16 in. (37.31 x 37.31 cm) (image)
19 15/16 x 16 1/16 in. (50.64 x 40.8 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,Their Numbers were Picked out of a Hat. They Were Just Chosen King and Queen of a Senior Citizens' Dance in N.Y.C. Yetta Grant is 72 and Charles Fahrer is 79. They Have Never Met Before.,"American, 1923 - 1971"
Photographer: Diane Arbus; Publisher: Diane Arbus and her estate, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1970 (reprinted 1971),Photography and New Media,"14 3/4 x 14 1/4 in. (37.47 x 36.2 cm) (image)
19 7/8 x 16 1/8 in. (50.48 x 40.96 cm) (sheet)",N/A,Gelatin silver print (printed 1971),American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,"Lauro Morales, a Mexican Dwarf, in his Hotel Room in N.Y.C.","American, 1923 - 1971"
Architect: Frank Lloyd Wright; Manufacturer: Temple Art Glass Company; Designer: Frank Lloyd Wright, Architecture,North America,United States,The David Draper Dayton Fund,1912-1914,"Decorative Arts, Textiles and Sculpture",N/A,N/A,"Oak, pine, glass, copper-coated zinc caming, porcelain, brass hardware, metal screens, cotton canvas upholstery, fabric-covered shades",American,N/A,Public Domain,Not on View,Stained glass window (left) from Frank Lloyd Wright Little House cat. card dims 50-3/16 x 18-15/16',N/A,20th century,"In 1908 Francis and Mary Little commissioned Frank Lloyd Wright, the architect of their previous home in Peoria, to design a summer residence for them on their property overlooking scenic Lake Minnetonka.  The home that Wright designed for the Littles was one of his last great Prairie School houses.  Characteristically long and low, with a hipped roof, the house featured windows spanning the entire lakeside elevation, giving the Littles full advantage of the impressive view.  Although Wright drew elaborate designs for these windows, Mr. Little did not want an intricate pattern to obscure his view of the lake.  As a compromise, large expanses of glass throughout the house have a central area of plain glass ""framed"" with an intricate border.  In this hallway, the framed area becomes increasingly complex in the design of the three right windows facing a grove of trees.By the late 1960s the large size of the house, rising property taxes, inflexible built-in furnishings, inadequate insulation, and many uninvited visitors placed the owners, at that time the Littles' daughter and her husband, in a difficult situation.  They made every effort to find a purchase, but no local buyer or institution could be found to save the house on the site.  A group of Wright enthusiasts contacted officials at the Metropolitan Museum of Art in New York to see if they might be able to purchase it for installation.  The Metropolitan bought only the house in 1972, allowing the current owners to retain the property.  Portions of the interior were dismantled for future installation in the Metropolitan and for sale to other institutions.  The Minneapolis Institute of Arts purchased this hallway, which led to the master bedroom of the house.  It has been installed without its fourth wall of closets, allowing a broader view of the windows.  A model of the house is located directly across from the hallway.",Hallway window (left),"American, 1867?1959"
Photographer: Ramon J. Muxter, Photographs,North America,United States,Anonymous gift,1970,Photography and New Media,"5 3/4 x 8 1/2 in. (14.61 x 21.59 cm) (image)
11 x 13 7/8 in. (27.94 x 35.24 cm) (sheet)",N/A,Gelatin silver print,American,N/A,Non-Commercial Use,Not on View,N/A,N/A,20th century,N/A,First Man on the Moon,"American, 1945 - 2007"
Photographer: Robert Levy, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1972,Photography and New Media,"7 3/8 x 4 15/16 in. (18.73 x 12.54 cm) (image)
9 15/16 x 7 15/16 in. (25.24 x 20.16 cm) (sheet)",N/A,Gelatin silver print,American,N/A,Non-Commercial Use,Not on View,N/A,N/A,20th century,N/A,"Valentine's Day, Cambridge Massachusetts","American, born 1948"
Photographer: Jacques Henri Lartigue, Photographs,Europe,France,The Kate and Hall J. Peterson Fund,1955 (printed 1972),Photography and New Media,"9 1/16 x 6 11/16 in. (23.02 x 16.99 cm) (image)
15 x 13 in. (38.1 x 33.02 cm) (mount)",N/A,Gelatin silver print (printed 1972),French,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,Picasso,"French, 1894 - 1986"
Photographer: Edward Weston, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1933,Photography and New Media,"9 3/8 x 7 3/8 in. (23.81 x 18.73 cm) (image)
14 15/16 x 13 3/16 in. (37.94 x 33.5 cm) (mount)",N/A,Gelatin silver print,American,N/A,Copyright Protected,Not on View,printed by Cole Weston,N/A,20th century,N/A,White Radish,"American, 1886 - 1958"
Artist: Jules Elie Delaunay, Paintings,Europe,France,Gift of Mr. and Mrs. Atherton Bean,1869,Paintings,"14 7/16 x 18 1/16 in. (36.67 x 45.88 cm) (canvas)
21 1/4 x 23 3/4 x 2 1/4 in. (53.98 x 60.33 x 5.72 cm) (outer frame)",Date; Initials,Oil on wood,French,N/A,Public Domain,G354,N/A,LR in crimson: [\'JE\' (reversed) \'D\' (intertwined with JE) 1871]; (on step):  [JED 1871],19th century,"This is probably a study for Delaunay's most famous painting, a large canvas he exhibited in 1869, but which had its genesis during Delaunay's period of study in Rome (1856-61). The artist took inspiration from a passage in Jacobus de Voragine's 13th-century 'Golden Legend', which describes how divine vengeance brought a plague to Rome. In the painting, plague-stricken figures lie in torment in the streets, while to the right, a good angel commands the bad angel to strike with his spear the homes where the plague will enter.",The Plague in Rome,"French, 1828 - 1891"
Artist: Carducius Plantagenet Ream, Paintings,North America,United States,Gift of Mrs. M. M. Zesbaugh,c. 1870,Paintings,13 1/4 x 17 1/2 in. (33.66 x 44.45 cm) (canvas),Signature,Oil on canvas attached to millboard,American,"Martha M. Zesbaugh, Minneapolis, Minnesota; gift to MIA in 1972.",Public Domain,Not on View,Still Life.,LR: [C.P. Ream],19th century,N/A,Peaches,"American, 1837 - 1917"
Artist: Camille Bombois, Paintings,Europe,France,Gift of Mrs. Patrick Butler,20th century,Paintings,"21 1/4 x 25 5/8 in. (53.98 x 65.09 cm) (canvas)
29 1/2 x 33 5/8 x 2 1/4 in. (74.93 x 85.41 x 5.72 cm) (outer frame)",Signature,Oil on canvas,French,N/A,Copyright Protected,Not on View,N/A,LL: [Bombois.clle],20th century,N/A,In The Bois du Boulogne,"French, 1883 - 1970"
Artist: Leonard Tsuguharu Foujita, Paintings,Europe,France,Gift of Mrs. Patrick Butler,1954,Paintings,16 3/4 x 13 3/4 in. (42.5 x 34.9 cm),N/A,Oil on canvas,French,N/A,Copyright Protected,Not on View,"Accepted into Record Book in 1972 (L72.132.8); given Perm. Coll. status as of April 26, 1979",N/A,20th century,N/A,Little Girl with Cat,"French, (born Japan) 1886 - 1968"
Artist: Aim?-Jules Dalou, Sculpture,Europe,France,The William Hood Dunwoody Fund,c. 1902,"Decorative Arts, Textiles and Sculpture",29 x 8 1/2 in. (73.7 x 21.6 cm),N/A,Bronze,French,N/A,Public Domain,Not on View,Standing male figure with sword (Dalou),N/A,19th-20th century,N/A,Standing Figure of General Hoche,"French, 1838 - 1902"
Photographer: Harry Callahan, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1958,Photography and New Media,"9 1/8 x 7 1/8 in. (23.18 x 18.1 cm) (image)
14 1/2 x 12 7/16 in. (36.83 x 31.59 cm) (mount)",N/A,Gelatin silver print,American,N/A,Copyright Protected,Not on View,N/A,N/A,20th century,N/A,Aix-en-Provence,"American, 1912 - 1999"
N/A, Sculpture,Oceania,Rapa Nui (Easter Island),The William Hood Dunwoody Fund and Gift of the Morse Foundation,18th century,Art of Africa and the Americas,18 3/4 x 5 in. (47.63 x 12.7 cm),N/A,Wood,N/A,N/A,Public Domain,G256,"figure, called Moai-Kava-Kava; toromiro wood",N/A,18th century,"Moai kavakava, which means ""image with ribs,"" is the most common of the wood sculptures on Rapa Nui. These gaunt male figures, with their protruding bones and skull-like heads, probably represent the spirits of the dead. Little is known about their precise functions, but it is likely that they were worn around the neck during certain festivals. The extended earlobes, typical of this type of sculpture, are shown with cylindrical ear ornaments representing the actual shark vertebra earplugs once worn by the island's inhabitants. ",Moai Kavakava,N/A
Photographer: Alvin Langdon Coburn, Photographs,North America,United States,The Kate and Hall J. Peterson Fund,1909,Photography and New Media,"7 9/16 x 6 1/4 in. (19.21 x 15.88 cm) (image)
8 3/16 x 6 11/16 in. (20.8 x 16.99 cm) (sheet)",N/A,Photogravure,British,N/A,Public Domain,Not on View,N/A,N/A,20th century,N/A,The Tunnel Builders,"British, (born United States) 1882-1966"
Artist: Emmanuel Alexandre Lansyer, Paintings,Europe,France,"Given in memory of Mrs. Henry Wireman Cook by Mrs. Eleanor Cook Atwater, Mr. Henry W. Cook, Jr., Mrs. Virginia Cook Knight, and Mr. Charles D. Cook",1865,Paintings,43 1/4 x 61 1/4 in. (109.9 x 155.6 cm),N/A,Oil on canvas,French,N/A,Public Domain,Not on View,N/A,N/A,19th century,N/A,Women at the Spring,"French, 1835 - 1893"
Artist: Edward Ruscha, Drawings,North America,United States,The David M. Daniels Fund,1967,Prints and Drawings,"23 ? 29 in. (58.42 ? 73.66 cm) (image)
31 1/8 ? 41 1/4 in. (79.06 ? 104.78 cm) (outer frame)",Signature; Date; embossed watermark,Graphite,American,"The artist, Los Angeles, 1967-72; sold, June 12, for $1,200, to MIA.",Non-Commercial Use,Not on View,"""L'Amour"" in light grey on darker grey ground",LL in pencil: [E. Ruscha 1967],20th century,"Ed Ruscha has always been fascinated with language and with transforming text and cultural icons into high art. In 1967, he began a series of ?paper ribbon? drawings featuring isolated words as objects set in three-dimensional space. He drew in a trompe l?oeil manner, using various media, cotton swabs, and the palm of his hand to establish subtle tonal gradations and illusionistic effects. Ruscha maintains that he chose words for their appearance, sound, or spelling rather than their meanings or referential associations.

L?Amour presents a French word-object whose meaning is well known to English-speaking viewers. Despite Ruscha?s statements to the contrary, the drawing?s soft focus and lyrical expression reinforce the word?s romantic associations.",L'Amour,"American, born 1937"
